2025-11-03 05:00:05 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_050026.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:05:06 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_050531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:10:06 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_051030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:15:06 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_051528.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:20:05 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_052029.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:25:06 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_052530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:30:06 | Temp: 43°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_053034.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:35:05 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_053530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:40:06 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_054032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:45:06 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_054533.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:50:05 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_055032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:55:11 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_055535.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:00:06 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_060031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:05:05 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_060532.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:10:10 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_061037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:15:05 | Temp: 43°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_061525.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:20:05 | Temp: 42°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_062031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:25:05 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_062528.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:30:04 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_063029.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:35:05 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_063529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:40:05 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_064025.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
